Region,EN.ATM.PM25.MC.ZS,EN.POP.DNST,IS.AIR.PSGR,NE.TRD.GNFS.ZS,NY.GDP.PCAP.PP.CD,SH.DTH.COMM.ZS,SH.DTH.NCOM.ZS,SH.DYN.NCOM.ZS,SH.STA.BASS.ZS,SH.TBS.CURE.ZS,SH.TBS.DTEC.ZS,SH.TBS.INCD,SH.XPD.CHEX.PP.CD,SH.XPD.OOPC.CH.ZS,SL.TLF.CACT.ZS,SM.POP.TOTL,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SP.DYN.CDRT.IN,SP.DYN.LE00.IN,SP.DYN.TO65.FE.ZS,SP.DYN.TO65.MA.ZS,SP.POP.1564.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.TOTL,SP.URB.TOTL.IN.ZS,ST.INT.ARVL
Cabo Verde,100,132.2364764,548908,104.066089,6317.255214,19.8,69.8,17.4,65.20696389,89,36,139,339.5523941,24.01657599,68.36399841,14924,102.445,147.853,5.606,72.599,82.47511,74.83834,64.36210038,4.471273923,532913,64.3,520000
Cambodia,100,87.90865058,1103880,127.864067,3514.683945,26.7,63.2,21.3,48.82544927,94,62,368,217.0747341,57.33106461,81.04699707,73963,142.84,208.468,6.109,68.62,75.91494,66.75045,64.27852569,4.119313285,15517635,22.188,4775000
Cameroon,100,48.30556155,267208,49.869207,3512.66769,54.8,34,21.8,38.83498513,84,54,212,164.5964636,69.74412434,76.33200073,381984,324.623,355.63,10.348,57.582,54.03842,49.75066,53.80151159,3.161892331,22834522,54.578,897000
Canada Alberta,0.725554042,3.940449068,80228302,65.75532511,44406.66587,5.5,88.4,10,98.5,84,87,5.2,4617.734333,14.4654391,65.54199982,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.87437417,16.14769955,35832513,81.259,17971000
Canada British Columbia,0.725554042,3.940449068,80228302,65.75532511,44406.66587,5.5,88.4,10,98.5,84,87,5.2,4617.734333,14.4654391,65.54199982,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.87437417,16.14769955,35832513,81.259,17971000
Canada Manitoba,0.725554042,3.940449068,80228302,65.75532511,44406.66587,5.5,88.4,10,98.5,84,87,5.2,4617.734333,14.4654391,65.54199982,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.87437417,16.14769955,35832513,81.259,17971000
Canada New Brunswick,0.725554042,3.940449068,80228302,65.75532511,44406.66587,5.5,88.4,10,98.5,84,87,5.2,4617.734333,14.4654391,65.54199982,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.87437417,16.14769955,35832513,81.259,17971000
Canada Newfoundland and Labrador,0.725554042,3.940449068,80228302,65.75532511,44406.66587,5.5,88.4,10,98.5,84,87,5.2,4617.734333,14.4654391,65.54199982,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.87437417,16.14769955,35832513,81.259,17971000
Canada Nova Scotia,0.725554042,3.940449068,80228302,65.75532511,44406.66587,5.5,88.4,10,98.5,84,87,5.2,4617.734333,14.4654391,65.54199982,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.87437417,16.14769955,35832513,81.259,17971000
Canada Ontario,0.725554042,3.940449068,80228302,65.75532511,44406.66587,5.5,88.4,10,98.5,84,87,5.2,4617.734333,14.4654391,65.54199982,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.87437417,16.14769955,35832513,81.259,17971000
Canada Prince Edward Island,0.725554042,3.940449068,80228302,65.75532511,44406.66587,5.5,88.4,10,98.5,84,87,5.2,4617.734333,14.4654391,65.54199982,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.87437417,16.14769955,35832513,81.259,17971000
Canada Quebec,0.725554042,3.940449068,80228302,65.75532511,44406.66587,5.5,88.4,10,98.5,84,87,5.2,4617.734333,14.4654391,65.54199982,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.87437417,16.14769955,35832513,81.259,17971000
Canada Saskatchewan,0.725554042,3.940449068,80228302,65.75532511,44406.66587,5.5,88.4,10,98.5,84,87,5.2,4617.734333,14.4654391,65.54199982,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.87437417,16.14769955,35832513,81.259,17971000
Central African Republic,100,7.297345019,642893,47.19062219,663.82653,64.7,26.2,23.7,25.08699975,78,59,391,42.08366354,29.98105893,72.35199738,81598,395.429,426.72,14.008,51.41,45.32778,39.96351,52.62176371,3.659884296,4546100,40.277,120500
Chad,100,11.12564565,41812,66.56416435,2207.630748,63.7,26.7,24.1,9.548387843,77,54,152,99.64996053,56.44644876,71.27400208,516968,341.536,384.798,13.217,52.575,48.75391,43.79587,49.95766061,2.462637086,14009413,22.515,120000
Chile,98.57629893,23.88959756,15006762,58.95284382,22959.55434,7.5,85,12.5,99.8882097,62,87,17,1891.212772,34.50925787,62.26499939,469436,67.179,110.554,6.066,79.315,88.70764,82.78588,68.7424663,10.41924358,17762681,87.36,4478000
China Anhui,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Beijing,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Chongqing,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Fujian,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
China Gansu,99.99995516,146.0576422,436183969,39.45306552,14492.42447,3.9,89,17.4,75.03727856,94,87,66,703.4950973,35.08928609,69.89399719,978046,68.052,93.429,7.11,76.092,87.55389,83.30372,72.63826196,9.676144679,1371220000,55.5,56886000
